"","Dim1","Dim2","Dim3","Dim4"
"Bojana Novakovic",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Bokeem Woodbine",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Bono",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Boris Kodjoe",-3.61645310192894,1.38768680656322,0.330833474148278,-0.420993189213736
"Brad Garrett",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Brad Pitt",0.395514115326313,0.386499614882902,-0.19423960002676,0.472209732319274
"Brad William Henke",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bradley Cooper",0.247083220869703,-0.437658937236019,0.622000251769402,-0.395198810782752
"Brandon T. Jackson",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Brenda Fricker",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Brenda Song",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Brendan Doogie Milewski",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Brendan Fehr",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Brendan Fraser",0.0752766556429964,-0.429110817747889,-0.623244933238445,0.372568899557719
"Brian Dennehy",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Brian Thompson",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bridgette Wilson-Sampras",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Brighton Sharbino",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Britney Spears",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Brittany Daniel",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Bruce Greenwood",0.0752766556429964,-0.429110817747889,-0.623244933238445,0.372568899557719
"Bruce McGill",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Bruce Spence",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Bruce Willis",0.146431634622896,-0.400901433011633,0.172026771478546,0.250245673092354
"Bryce Dallas Howard",0.833528043674139,0.993656498776048,0.456327633099762,-0.753730803694269
"Bunta Sugawara",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Busy Philipps",0.420183055690095,-0.541520360293079,1.03798680388608,-1.75570647965272
"Byron Mann",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Caitlin Stasey",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Caleb Landry Jones",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Callie Thorne",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Callum Rennie",1.07846674693859,1.44108695181139,0.519956727481316,-1.2619579448181
"Cameron Bright",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Cameron Monaghan",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Campbell Scott",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Candice Bergen",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Carlos Ponce",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Carmen Electra",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Carmen Perez",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Carol Ann Susi",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Carole Bouquet",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Caroline Dhavernas",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Cary-Hiroyuki Tagawa",0.0987119338807956,-0.348634860329967,0.265440349955102,0.770950619677217
"Cassie Ventura",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Catalina Sandino Moreno",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Catherine Deneuve",0.672792482769489,1.0900992487576,0.0700544061342713,0.509597745970697
"Catherine Dyer",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Catherine Lough Haggquist",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Catherine O'Hara",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"CCH Pounder",0.420183055690095,-0.541520360293079,1.03798680388608,-1.75570647965271
"Cécile De France",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Cedric the Entertainer",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Celia Imrie",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Cem Yilmaz",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Channing Tatum",0.157809648491596,-0.450826242028056,-0.1800912725507,-0.104767559073001
"Charis Michelsen",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Charles Napier",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Charlie Hunnam",0.557976372991751,0.80235242694009,0.109131594898438,0.561868320712001
"Charlie McDermott",0.420183055690095,-0.541520360293079,1.03798680388608,-1.75570647965271
"Charlie Rowe",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Charlize Theron",0.205868974483896,-0.412930026984337,0.522955834598763,-0.0712684134327603
"Charlotte Rampling",0.028406099167398,-0.590062732583734,-2.40061549962554,-0.424194540681278
"Charlyne Yi",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chase Ellison",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chazz Palminteri",0.529854039106392,0.705781278038583,-0.95729074493382,0.0838102565686032
"Cheech Marin",-0.0418997355459995,-0.831490604837501,-5.06667134920619,-1.61933970103977
"Chelan Simmons",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chelcie Ross",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chemeeka Walker",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Chen Chang",0.741654177499395,-0.734405860256192,1.81053325781707,-4.28236357898265
"Cheryl Hines",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chloë Grace Moretz",-0.365683695595422,-0.131594651968318,0.27361449047925,0.621957643565848
"Chris Brown",-1.75887058402407,0.519525973116629,0.29813691205169,0.174978715231741
"Chris Elliott",-5.47403561983381,2.25584764000982,0.363530036244866,-1.01696509365921
"Chris Evans",-0.0101884175197666,1.21962684778563,0.102662809479893,0.339979652678485
"Chris Gauthier",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chris Hemsworth",0.318777490143354,-0.0807893304977822,-0.291598407237029,-0.291224082561436
"Chris Klein",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chris Marquette",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chris Moss",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chris Noth",0.0987119338807956,-0.348634860329967,0.265440349955103,0.770950619677217
"Chris Zylka",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Chriss Anglin",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christian Bale",0.737086707131349,1.05152214876498,0.224563696920468,0.00426632610471099
"Christian Clemenson",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christian Monzon",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christina Milian",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christine Taylor",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christo Jivkov",2.39503412943557,5.40630157602032,-0.516103425328222,-0.274460875148861
"Christoph Waltz",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christopher Lambert",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
"Christopher Lee",0.527340096293195,-0.60581552694745,1.29550228852975,-2.59792551276269
"Christopher Meloni",0.0987119338807956,-0.348634860329966,0.265440349955103,0.770950619677217
